category,name,latitude,longitude,is_closed,rating,url,review_count,transactions,address,zip_code
vietnamese,OTD,37.7870707493052,-122.434144851548,False,3.5,https://www.yelp.com/biz/otd-san-francisco-3?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,673,[],"['2232 Bush St', 'San Francisco, CA 94115']",94115
italian,Luna Blu,37.87305,-122.45672,False,4.5,https://www.yelp.com/biz/luna-blu-tiburon?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,579,['pickup'],"['35 Main St', 'Tiburon, CA 94920']",94920
teppanyaki,Super Pan,37.780695,-122.4768301,False,4.0,https://www.yelp.com/biz/super-pan-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,358,"['delivery', 'pickup']","['5344 Geary Blvd', 'San Francisco, CA 94121']",94121
mediterranean,Tuba Express Mediterranean Kebab & Gyro,37.79081,-122.42008,False,4.5,https://www.yelp.com/biz/tuba-express-mediterranean-kebab-and-gyro-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,176,"['delivery', 'pickup', 'restaurant_reservation']","['1550 California St', 'San Francisco, CA 94109']",94109
french,Absinthe Brasserie & Bar,37.77714,-122.42268,False,4.0,https://www.yelp.com/biz/absinthe-brasserie-and-bar-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,3245,[],"['398 Hayes St', 'San Francisco, CA 94102']",94102
japanese,Pabu,37.7931261046321,-122.398542836308,False,4.0,https://www.yelp.com/biz/pabu-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,916,[],"['101 California St', 'San Francisco, CA 94111']",94111
ramen,Hinodeya Downtown,37.79465,-122.40453,False,4.5,https://www.yelp.com/biz/hinodeya-downtown-san-francisco-3?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,118,[],"['680 Clay St', 'San Francisco, CA 94111']",94111
caribbean,Obispo,37.7524,-122.41779,False,4.5,https://www.yelp.com/biz/obispo-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,74,[],"['3266 24th St', 'San Francisco, CA 94110']",94110
korean,K-Elements BBQ,37.78227,-122.48244,False,4.0,https://www.yelp.com/biz/k-elements-bbq-san-francisco-3?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,520,"['delivery', 'pickup']","['2140 Clement St', 'San Francisco, CA 94121']",94121
korean,Muguboka Restaurant,37.77713,-122.46317,False,4.0,https://www.yelp.com/biz/muguboka-restaurant-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,762,[],"['401 Balboa St', 'San Francisco, CA 94118']",94118
sushi,Sushi Ondo,37.77246,-122.41653,False,4.5,https://www.yelp.com/biz/sushi-ondo-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,108,['restaurant_reservation'],"['1550 Howard St', 'San Francisco, CA 94103']",94103
newamerican,Son's Addition,37.7527611898548,-122.411756327551,False,4.5,https://www.yelp.com/biz/sons-addition-san-francisco-7?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,230,[],"['2990 24th St', 'San Francisco, CA 94110']",94110
mexican,Flores,37.7976161048577,-122.432580590249,False,4.0,https://www.yelp.com/biz/flores-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,480,[],"['2030 Union St', 'San Francisco, CA 94123']",94123
