category,name,latitude,longitude,is_closed,rating,image_url,review_count,transactions,region
pizza,Montesacro Pinseria SF,37.7815976,-122.410121,False,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/VU6d7csGD1Blhb_fRC2ilA/o.jpg,668,['pickup'],region
ramen,Hinodeya Downtown,37.79465,-122.40453,False,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/GS9cGpsoATTbfWqMwKotMw/o.jpg,111,[],region
breakfast_brunch,Universal Cafe,37.76062,-122.41064,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/JTHfLU4rlLQ3Xz19ShtacA/o.jpg,1347,"['delivery', 'restaurant_reservation', 'pickup']",region
italian,Credo,37.792134,-122.401989,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/ljtW2dCb60NTfuFRPT1y-g/o.jpg,862,"['pickup', 'restaurant_reservation']",region
french,Absinthe Brasserie & Bar,37.77714,-122.42268,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/AE80i8mNAmawM9R3SJcelg/o.jpg,3242,[],region
newamerican,The Rotunda,37.7874117371449,-122.40635645157,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/ycGCnJWayQAmAma2xOuJdQ/o.jpg,1644,[],region
arcades,Outer Orbit,37.74517,-122.41972,False,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/HRGWzh55j1dJQA6_NRSoTg/o.jpg,75,"['pickup', 'delivery']",region
mexican,Papito Potrero Hill,37.762331217976,-122.39734047586,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/TsCGZUMWq4d7eYWxpAoJ5g/o.jpg,681,"['pickup', 'delivery']",region
latin,School Night,37.76152,-122.38896,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/HfU9IFI4yGt1eRrFG25iJg/o.jpg,89,['delivery'],region
newamerican,Boulevard,37.79337,-122.39274,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/PrNMuBxtmrwfksK_uFvsSg/o.jpg,2649,[],region
breakfast_brunch,The American Grilled Cheese Kitchen,37.782229,-122.392869,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/yK11qtes5O_GXgIvt6UNzg/o.jpg,1496,"['pickup', 'delivery']",region
thai,Derm Restaurant,37.7818512,-122.4537064,False,4.5,https://s3-media4.fl.yelpcdn.com/bphoto/weflTRWhCZimef6xIyZa6w/o.jpg,215,"['pickup', 'restaurant_reservation', 'delivery']",region
szechuan,Village House,37.77603,-122.49492,False,4.5,https://s3-media4.fl.yelpcdn.com/bphoto/gbkOURColflwPQsBpcSFWg/o.jpg,236,"['pickup', 'delivery']",region
french,Monsieur Benjamin,37.77749,-122.42356,False,4.0,https://s3-media1.fl.yelpcdn.com/bphoto/qKeCTosdhafWuvXlhGlHFg/o.jpg,913,[],region
wine_bars,Birba,37.77787,-122.42421,False,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/XhelCtEK3UMgY31pTORy4Q/o.jpg,114,[],region
hotpot,Boiling Hot Pot,37.7806682,-122.4786992,False,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/pjd_QmBovdQljI-oUyefIA/o.jpg,855,[],region
german,Biergarten,37.7760757082896,-122.424053012078,False,4.0,https://s3-media1.fl.yelpcdn.com/bphoto/_okkYJxRbb_o5_gFLFOHTA/o.jpg,538,[],region
latin,Destino,37.7712546,-122.4237757,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/UcpA9mPHe4MYxIiQdTNDJQ/o.jpg,1180,"['pickup', 'delivery']",region
indpak,ROOH,37.7813044077209,-122.392686848497,False,4.0,https://s3-media1.fl.yelpcdn.com/bphoto/Aqx54zQGy-4usrESxqEfdA/o.jpg,714,['restaurant_reservation'],region
breakfast_brunch,Aha Fresh,37.751351,-122.432183,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/EJ9p6FvfqvBIXSpRqhYa0Q/o.jpg,993,['pickup'],region
korean,707 Sutter,37.7886616504901,-122.412151023746,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/H9hmOuK56dKrpbydya-Z0A/o.jpg,690,[],region
newamerican,Sutro's at The Cliff House,37.77841,-122.51443,False,3.5,https://s3-media4.fl.yelpcdn.com/bphoto/fSVG-ExB-TzHY-MNHhow2Q/o.jpg,1390,[],region
latin,Alma Cocina,37.7523758,-122.4138638,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/SwaoiF215KNmnuwLbT8-jg/o.jpg,248,"['pickup', 'restaurant_reservation']",region
