name,latitude,longitude,address,zip_code,website,neighborhood
Solstice,37.79776,-122.43191000000002,"1980 Union St, San Francisco, CA 94123",94123,https://www.yelp.com/biz/solstice-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,Marina
Stacks,37.776393,-122.424756,"501 Hayes St, San Francisco, CA 94102",94102,http://www.stacksrestaurant.com/,Hayes
Town's End Restaurant & Bakery,37.781586,-122.39012,"2 Townsend St, San Francisco, CA 94107",94107,http://www.townsendrb.com/,Potrero Hill
Trattoria Pinocchio,37.798842,-122.408488,"401 Columbus Ave, San Francisco, CA 94133",94133,http://www.trattoriapinocchio.com/,North Beach/Chinatown
Trou Normand,37.7866839,-122.3998832,"140 New Montgomery St, San Francisco, CA 94105",94105,http://www.trounormandsf.com/,Embarcadero
Universal Cafe,37.76063,-122.41065,"2814 19th St, San Francisco, CA 94110",94110,https://universalcafe.net/,Inner Mission/Bernal Heights
Waterbar,37.7900429,-122.3886065,"399 The Embarcadero, San Francisco, CA 94105",94105,https://www.waterbarsf.com/,Embarcadero
What The Cluck - Haight/Ashbury,37.7695304,-122.45157749999998,"1782 Haight St, San Francisco, CA 94117",94117,https://www.whatthecluckus.com/menu,Haight-Ashbury
Wipeout Bar & Grill,37.8089902,-122.4124387,"PIER 39 A-O2, San Francisco, CA 94133",94133,https://wipeoutbarandgrill.com/,North Beach/Chinatown
a Mano,37.7768993,-122.4240297,"450 Hayes St, San Francisco, CA 94102",94102,https://amanosf.com/,Hayes
